,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
43,Spring frittata,"['FRITTATA', '2 firm medium green or yellow courgettes', '1 bunch of fresh mint , (30g)', 'olive oil', '8 large free-range eggs', '½ teaspoon truffle oil', '1 pinch of cayenne pepper', '4 sprigs of fresh thyme', '40 g pecorino cheese', '1 fresh red chilli', '20 g feta cheese', 'TOASTS', '4 slices of ciabatta , (2cm thick)', '1 clove of garlic', '4 ripe cherry tomatoes', '1 teaspoon dried oregano', 'SALAD', 'extra virgin olive oil', '1 lemon', '150 g fresh podded peas', '100 g watercress', '1 celery of heart']",4,Not too tricky,468.0,28.8,28.3,21.7,15 minutes,https://www.jamieoliver.com/recipes/egg-recipes/spring-frittata/,frittata firm green or yellow courgette bunch fresh mint olive oil large free range egg truffle oil cayenne pepper sprig fresh thyme pecorino cheese fresh red chilli feta cheese toast ciabatta clove garlic ripe cherry tomato dried oregano salad extra virgin olive oil lemon fresh podded pea watercress celery heart,frittata firm courgette mint egg truffle cayenne thyme pecorino cheese feta cheese toast ciabatta garlic tomato oregano lemon podded pea watercress celery heart
44,Mushroom farfalle,"['PASTA', '25 g dried porcini mushrooms', 'olive oil', '2-4 cloves of garlic', '½ a small dried red chilli', '250 g chestnut mushrooms', '6 sprigs of fresh thyme', '320 g dried farfalle', '1 teaspoon truffle oil', '1 lemon', '150 g low-fat cottage cheese', 'SALAD', '50 g blanched hazelnuts', '200 g baby spinach', '1 eating apple', '40 g blue cheese', '1 teaspoon extra virgin olive oil']",4,Not too tricky,586.0,24.0,24.2,65.7,15 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/mushroom-farfalle/,pasta dried porcini mushroom olive oil clove garlic a small dried red chilli chestnut mushroom sprig fresh thyme dried farfalle truffle oil lemon low fat cottage cheese salad blanched hazelnut baby spinach eating apple blue cheese extra virgin olive oil,pasta porcini mushroom garlic chestnut mushroom thyme farfalle truffle lemon cottage cheese blanched hazelnut spinach eating apple blue cheese
45,Baked whole trout,"['TROUT', '4 x 250 g trout , scaled, gutted, from sustainable sources', 'olive oil', '1 lemon', '1 bunch of fresh thyme , (30g)', '40 g flaked almonds', '4 rashers of higher-welfare smoked pancetta', 'VEG', '600 g new potatoes', '2 organic chicken stock cubes', '2 little gem lettuces', '1 bunch of fresh mint , (30g)', '300 g frozen peas', '200 g frozen broad beans', 'SAUCE', '2 teaspoons jarred grated horseradish', '1 teaspoon English mustard', '½ a lemon', '4 tablespoons fat-free natural yoghurt']",4,Not too tricky,504.0,21.3,48.1,23.9,15 minutes,https://www.jamieoliver.com/recipes/fish-recipes/baked-whole-trout/,trout trout from sustainable source olive oil lemon bunch fresh thyme flaked almond rasher higher welfare smoked pancetta veg new potato organic chicken stock cube little gem lettuce bunch fresh mint frozen pea frozen broad bean sauce jarred grated horseradish english mustard a lemon fat free natural yoghurt,trout trout lemon thyme flaked pancetta veg potato chicken gem lettuce mint pea broad jarred horseradish mustard lemon yoghurt
46,Arnold Bennett frittata,"['FRITTATA', '250 g undyed smoked haddock , from sustainable sources', '4 fresh bay leaves', '8 large free-range eggs', '6 spring onions', '½ a bunch of fresh mint , (15g)', '1 large handful of frozen peas', 'olive oil', '5 g Parmesan cheese', 'SALAD', '2 apples', '1 lemon', '½ a bunch of fresh chives , (15g)', '1 handful of walnuts', '75 g watercress', '2 tablespoons extra virgin olive oil', '30 g Emmental cheese', 'TO SERVE', '200 g focaccia bread', '1 lemon']",4,Not too tricky,569.0,32.7,36.1,29.7,15 minutes,https://www.jamieoliver.com/recipes/egg-recipes/arnold-bennett-frittata/,frittata undyed smoked haddock from sustainable source fresh bay leaf large free range egg spring onion a bunch fresh mint large handful frozen pea olive oil parmesan cheese salad apple lemon a bunch fresh chive handful walnut watercress extra virgin olive oil emmental cheese to serve focaccia bread lemon,frittata undyed haddock egg onion mint pea parmesan cheese apple lemon walnut watercress emmental cheese focaccia lemon
47,Lamb meatballs,"['MEATBALLS', '400 g lean lamb mince', '1 heaped teaspoon garam masala', 'olive oil', '1 pinch of saffron', '½–1 fresh red chilli', '2 spring onions', '½ a bunch of fresh coriander , (15g)', '2 cloves of garlic', '1 x 400 g tin of chickpeas', '350 g passata', 'SALAD', '½ a cucumber', '2 little gem lettuces', '1 bunch of radishes', '2 ripe tomatoes', '1 tablespoon extra virgin olive oil', '1 lemon', 'TO SERVE', '1 heaped teaspoon harissa', '4 heaped tablespoons fat-free natural yoghurt', '8 small wholewheat tortillas', '1 orange']",4,Not too tricky,687.0,25.0,38.0,73.1,15 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/lamb-meatballs/,meatball lean lamb mince garam masala olive oil saffron fresh red chilli spring onion a bunch fresh coriander clove garlic tin chickpea passata salad a cucumber little gem lettuce bunch radish ripe tomato extra virgin olive oil lemon to serve harissa fat free natural yoghurt small wholewheat tortilla orange,meatball lean lamb mince onion coriander garlic chickpea passata cucumber gem lettuce radish tomato lemon harissa yoghurt wholewheat
48,Swedish meatballs,"['RICE', '1 celeriac', 'olive oil', 'a few sprigs of fresh lemon thyme', '1 mug of 10-minute wholegrain rice or basmati rice , (300g)', '200 g baby spinach', 'MEATBALLS', '200 g higher-welfare lean beef mince', '200 g higher-welfare lean pork mince', '½ a bunch of fresh dill', '2 teaspoons caraway seeds', '1 swig of vodka', '4 teaspoons cranberry jam', '4 tablespoons single cream', '4 tablespoons fat-free natural yoghurt , to serve']",4,Not too tricky,576.0,19.4,31.0,63.1,15 minutes,https://www.jamieoliver.com/recipes/beef-recipes/swedish-meatballs/,rice celeriac olive oil a few sprig fresh lemon thyme mug minute wholegrain rice or basmati rice baby spinach meatball higher welfare lean beef mince higher welfare lean pork mince a bunch fresh dill caraway seed swig vodka cranberry jam single cream fat free natural yoghurt to serve,rice celeriac lemon thyme mug minute wholegrain rice rice spinach meatball lean beef mince lean pork mince dill caraway swig vodka cranberry jam single yoghurt
49,Crispy polenta chicken Caesar salad,"['CHICKEN', '2 x 200 g free-range skinless chicken breasts', '½ teaspoon sweet smoked paprika', '2 heaped tablespoons polenta', 'olive oil', 'SALAD', '1 ciabatta loaf', '1 clove of garlic', '2 red chicory', '4 slices of higher-welfare smoked pancetta', '2 romaine lettuces', '10 ripe cherry tomatoes', '2 large jarred red peppers', 'balsamic vinegar', '1 punnet of cress', 'DRESSING', '1 clove of garlic', '2 lemons', '40 g Parmesan cheese , plus extra to serve', '4 anchovy fillets , in oil, from sustainable sources', '4 heaped tablespoons fat-free natural yoghurt', '1 splash of Worcestershire sauce', '1 tablespoon red wine vinegar', '1 teaspoon English mustard', '½ a bunch of fresh basil , (15g)']",4,Not too tricky,469.0,14.6,47.3,34.8,15 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/crispy-polenta-chicken-caesar-salad/,chicken free range skinless chicken breast sweet smoked paprika polenta olive oil salad ciabatta loaf clove garlic red chicory higher welfare smoked pancetta romaine lettuce ripe cherry tomato large jarred red pepper balsamic vinegar punnet cress dressing clove garlic lemon parmesan cheese plus extra to serve anchovy fillet from sustainable source fat free natural yoghurt splash worcestershire sauce red wine vinegar english mustard a bunch fresh basil,chicken chicken paprika polenta ciabatta loaf garlic chicory pancetta romaine lettuce tomato jarred cress garlic lemon parmesan cheese anchovy yoghurt wine mustard basil
50,Ultimate mushroom risotto,"['1 onion', '2 sticks of celery', 'olive oil', '1 bunch of fresh thyme , (30g)', '20 g dried porcini mushrooms', '350 g mixed mushrooms , such as chestnut, button, wild, shiitake', '1.2 litres organic vegetable stock', '300 g Arborio risotto rice', '125 ml white wine', '40 g Parmesan or vegetarian hard cheese', '20 g unsalted butter', 'SALAD', '30 g blanched hazelnuts', '1 lemon', '4 tablespoons natural yoghurt', 'extra virgin olive oil', '100 g baby spinach']",4,Not too tricky,569.0,23.9,16.5,73.2,40 minutes,https://www.jamieoliver.com/recipes/rice-recipes/ultimate-mushroom-risotto/,onion stick celery olive oil bunch fresh thyme dried porcini mushroom mixed mushroom such a shiitake organic vegetable stock arborio risotto rice white wine parmesan or vegetarian hard cheese unsalted butter salad blanched hazelnut lemon natural yoghurt extra virgin olive oil baby spinach,onion celery thyme porcini mushroom mushroom shiitake arborio risotto rice wine parmesan vegetarian hard cheese butter blanched hazelnut lemon yoghurt spinach
51,Chicken katsu curry,"['4 x 150g free-range skinless boneless chicken breasts', '250 ml buttermilk', '2 heaped teaspoons medium curry powder', '2 cloves of garlic', '120 g panko breadcrumbs', '1 mug of basmati rice , (300g)', '25 g creamed coconut', '2 litres vegetable oil', 'SAUCE', '1 onion', '2 cloves of garlic', '1 thumb-sized piece of ginger', '1 medium carrot', '1 bunch of fresh coriander , (30g)', 'olive oil', '1 teaspoon each garam masala , medium curry powder, turmeric', '2 heaped tablespoons plain flour', '1 heaped teaspoon mango chutney', 'PICKLE', '1 red onion', '1 lemon', '1 fresh red chilli']",4,Not too tricky,885.0,30.9,49.2,111.5,1 hour 30 minutes plus marinating,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-katsu-curry/,free range skinless boneless chicken breast buttermilk curry powder clove garlic panko breadcrumb mug basmati rice creamed coconut vegetable oil sauce onion clove garlic thumb sized piece ginger carrot bunch fresh coriander olive oil each garam masala curry turmeric plain flour mango chutney pickle red onion lemon fresh red chilli,boneless chicken buttermilk garlic panko breadcrumb mug rice creamed coconut onion garlic thumb ginger carrot coriander each turmeric mango chutney pickle onion lemon
52,Mixed greens filo pie,"['50 g mixed nuts and seeds', '2 cloves of garlic', '2 onions', 'olive oil', '800 g mixed greens , such as kale, chard, spinach', '1 lemon', '½ a bunch of fresh dill , (15g)', '4 large free-range eggs', '6 large sheets of filo pastry', '150 g feta cheese', 'runny honey']",8,Not too tricky,299.0,14.4,14.9,27.9,1 hour 20 minutes plus cooling,https://www.jamieoliver.com/recipes/vegetable-recipes/mixed-greens-filo-pie/,mixed nut and seed clove garlic onion olive oil mixed green such a spinach lemon a bunch fresh dill large free range egg large sheet filo pastry feta cheese runny honey,garlic onion spinach lemon dill egg sheet filo feta cheese honey
53,Roasted salmon & artichokes,"['olive oil', '2 x 1 kg sides of salmon , skin on, scaled, pin-boned, from sustainable sources', '100 g blanched almonds', '2 cloves of garlic', '2 lemons', '100 g stale ciabatta', '2 fresh baby Italian artichokes', '1 x 280 g jar of artichoke hearts in oil', '1 bunch of fresh mint , (30g)', '12 rashers of higher-welfare smoked streaky bacon', '1 bunch of fresh thyme , (30g)']",12 to 14,Not too tricky,451.0,30.2,38.5,6.2,1 hour 25 minutes plus resting,https://www.jamieoliver.com/recipes/salmon-recipes/roasted-salmon-artichokes/,olive oil side salmon skin pin from sustainable source blanched almond clove garlic lemon stale ciabatta fresh baby italian artichoke jar artichoke heart oil bunch fresh mint rasher higher welfare smoked streaky bacon bunch fresh thyme,side salmon blanched garlic lemon stale ciabatta italian artichoke jar artichoke heart mint bacon thyme
54,12-minute spaghettini,"['2 cloves of garlic', '250 g mixed-colour ripe cherry tomatoes', '1 handful of black olives , (stone in)', 'olive oil', '½ a bunch of fresh basil , (15g)', '160 g dried spaghettini or taglierini', '20 g salted ricotta or feta cheese']",2,Super easy,410.0,12.6,13.3,65.1,12 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/12-minute-spaghettini/,clove garlic mixed colour ripe cherry tomato handful black olive olive oil a bunch fresh basil dried spaghettini or taglierini salted ricotta or feta cheese,garlic tomato basil spaghettini taglierini salted feta cheese
55,Slow-cooked courgette & pine nut pasta,"['2 courgettes', '2 cloves of garlic', '3 sprigs of fresh basil', '2 tablespoons pine nuts', 'olive oil', '1 big pinch dried chilli flakes', '150 g dried pasta , such as conchiglie, penne, rigatoni', '25 g Parmesan cheese', '50 g ricotta cheese']",2,Not too tricky,503.0,20.6,21.4,61.7,40 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/slow-cooked-courgette-and-pine-nut-pasta/,courgette clove garlic sprig fresh basil pine nut olive oil big dried chilli flake dried pasta such a rigatoni parmesan cheese ricotta cheese,courgette garlic basil pasta rigatoni parmesan cheese cheese
56,Cracker ravioli,"['1 butternut squash , (1.2kg)', '250 g ricotta cheese', '½ teaspoon dried red chilli flakes', '1 whole nutmeg , for grating', 'olive oil', '200 g vac-packed chestnuts', '½ a bunch of fresh sage , (15g)', '20 g Parmesan cheese , plus extra to serve', 'PASTA', '1 x Royal pasta dough', '75 g baby spinach', 'semolina , for dusting', 'BUTTER SAUCE', '100 g unsalted butter', '4 clementines', 'TO SERVE', '50 g skin-on almonds']",6 or 12 as a starter,Showing off,917.0,46.4,27.6,101.0,3 hours,https://www.jamieoliver.com/recipes/pasta-recipes/cracker-ravioli/,butternut squash ricotta cheese dried red chilli flake nutmeg for grating olive oil vac packed chestnut a bunch fresh sage parmesan cheese plus extra to serve pasta royal pasta dough baby spinach semolina for dusting butter sauce unsalted butter clementine to serve skin on almond,cheese nutmeg vac packed chestnut sage parmesan cheese pasta royal pasta dough spinach semolina butter butter clementine
57,Sicilian fish bake,"['2 large aubergines', '1 kg ripe mixed-colour tomatoes', '1 red onion', '4 cloves of garlic', '1 celery heart', '1 tablespoon dried oregano', '1 pinch of dried red chilli flakes', '1 heaped teaspoon baby capers', '40 g raisins', '40 g pine nuts', '4 black olives , (stone in)', 'olive oil', '4 x 120 g white fish fillets , scaled, pin-boned, from sustainable sources', '1 orange', '250 g wholewheat couscous', '40 g rocket', '4 tablespoons natural yoghurt']",4,Not too tricky,600.0,18.5,37.1,71.7,1 hour 15 minutes,https://www.jamieoliver.com/recipes/fish-recipes/sicilian-fish-bake/,large aubergine ripe mixed colour tomato red onion clove garlic celery heart dried oregano dried red chilli flake baby caper raisin pine nut black olive olive oil white fish fillet pin from sustainable source orange wholewheat couscous rocket natural yoghurt,tomato onion garlic celery heart oregano raisin wholewheat rocket yoghurt
58,Black bean burgers,"['½ a red onion', '1 tablespoon balsamic vinegar', '1 fresh red chilli', '2 spring onions', '1 x 400 g tin black beans', '100 g fresh breadcrumbs', '1 lemon', 'extra virgin olive oil', '2 tablespoons natural yoghurt', '80 g baby kale', '30 g rocket', 'olive oil', '1 ripe beef tomato', '75 g mozzarella cheese', '2 wholemeal buns']",2,Not too tricky,652.0,25.1,30.5,73.4,40 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/black-bean-burgers/,a red onion balsamic vinegar fresh red chilli spring onion tin black bean fresh breadcrumb lemon extra virgin olive oil natural yoghurt baby kale rocket olive oil ripe beef tomato mozzarella cheese wholemeal bun,onion onion breadcrumb lemon yoghurt kale rocket beef tomato cheese bun
